sporulation;oiv;densite_sporulation;experiment;ligne;image_name;surface_necrosee;colonne;sheet;necrose;taille_necrose
1.0;7.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P32;7.0;4.0;4dpi;1.0;3.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P32;;4.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P32;;4.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P33;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P33;;1.0;4dpi;0.0;
1.0;7.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P33;5.0;1.0;4dpi;1.0;1.0
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P33;;2.0;4dpi;0.0;
1.0;7.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P33;5.0;2.0;4dpi;1.0;5.0
1.0;7.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P33;;2.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P33;;3.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P33;7.0;3.0;4dpi;1.0;7.0
1.0;7.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P33;;3.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P33;;4.0;4dpi;0.0;
1.0;5.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P33;;4.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P33;;4.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P34;;1.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P34;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P34;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P34;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P34;;2.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P34;5.0;2.0;4dpi;1.0;5.0
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P34;5.0;3.0;4dpi;1.0;3.0
1.0;5.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P34;;3.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P34;;3.0;4dpi;0.0;
1.0;7.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P34;;4.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P34;;4.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P34;9.0;4.0;4dpi;1.0;7.0
1.0;5.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P35;;1.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P35;5.0;1.0;4dpi;1.0;5.0
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P35;;1.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P35;5.0;2.0;4dpi;1.0;5.0
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P35;5.0;2.0;4dpi;1.0;3.0
1.0;7.0;7.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P35;5.0;2.0;4dpi;1.0;5.0
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P35;5.0;3.0;4dpi;1.0;3.0
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P35;;3.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P35;5.0;3.0;4dpi;1.0;3.0
1.0;7.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P35;;4.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P35;;4.0;4dpi;0.0;
1.0;7.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P35;;4.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P36;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P36;;1.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P36;;1.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P37;;1.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P37;;1.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P37;;1.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P37;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P37;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P37;;2.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P37;;3.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P37;;3.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P37;;3.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P37;7.0;4.0;4dpi;1.0;7.0
1.0;7.0;9.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P37;7.0;4.0;4dpi;1.0;7.0
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P37;7.0;4.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P38;9.0;1.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P38;9.0;1.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P38;9.0;1.0;4dpi;1.0;9.0
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P38;;2.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P38;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P38;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P38;;3.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P38;;3.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P38;;3.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P39;;1.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P39;;1.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P39;;1.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P39;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P39;;2.0;4dpi;0.0;
